Adoption Date,Days in Adoption Center,Animal,Color,Age
2024-01-03,25,Dog,Brown,3
2024-01-05,12,Cat,Black,2
2024-01-07,40,Bunny,White,1
2024-01-10,18,Bird,Yellow,4
2024-01-12,7,Fish,Orange,1
2024-01-15,55,Dog,Golden,6
2024-01-18,30,Cat,Gray,5
2024-01-20,14,Bunny,Cream,2
2024-01-22,60,Dog,Black,8
2024-01-25,9,Bird,Green,3
2024-01-28,45,Cat,White,7
2024-02-01,20,Dog,Brown,4
2024-02-03,33,Fish,Orange,2
2024-02-05,10,Bunny,Gray,1
2024-02-07,70,Dog,Spotted,9
2024-02-10,5,Bird,Yellow,2
2024-02-12,28,Cat,Black,6
2024-02-14,16,Fish,Gold,1
2024-02-16,42,Dog,White,5
2024-02-18,21,Bunny,Cream,3
2024-02-20,11,Cat,Orange,4
2024-02-22,65,Dog,Brown,10
2024-02-24,8,Bird,Blue,2
2024-02-26,35,Fish,Orange,3
2024-02-28,19,Cat,Gray,7
2024-03-01,50,Dog,Black,6
2024-03-03,6,Bunny,White,1
2024-03-05,27,Bird,Yellow,4
2024-03-07,15,Cat,Cream,3
2024-03-09,38,Dog,Golden,5
2024-03-11,22,Fish,Orange,2
2024-03-13,9,Bunny,Gray,1
2024-03-15,58,Dog,Brown,8
2024-03-17,12,Cat,Black,4
2024-03-19,41,Bird,Green,6
2024-03-21,18,Fish,Gold,2
2024-03-23,30,Dog,White,7
2024-03-25,14,Bunny,Cream,2
2024-03-27,66,Dog,Spotted,11
2024-03-29,7,Cat,Orange,3
2024-04-01,24,Bird,Yellow,5
2024-04-03,39,Fish,Orange,4
2024-04-05,17,Dog,Black,6
2024-04-07,29,Cat,Gray,8
2024-04-09,13,Bunny,White,2
2024-04-11,52,Dog,Brown,9
2024-04-13,6,Bird,Blue,1
2024-04-15,34,Fish,Gold,3
2024-04-17,20,Cat,Cream,5
